smiles,cal_solv_free
COC(=O)c1csnn1,-10.10037586
Cc1cc(O)ccc1Cl,-6.860315826
Nc1ccc(O)c(Cl)c1,-8.609638003
NCc1ccc(Cl)cc1,-6.837800767
NC(=O)c1nonc1CO,-13.3517248
Nc1cccc(C(=O)O)c1,-11.14344181
O=C1NCc2ccccc21,-10.24327871
CCc1ccccc1N,-6.622596213
C=Cc1ccc(C)cc1,-3.838704574
Cc1cccc(N)c1,-6.640461422
CCCCCc1ccco1,-3.750871999
C=CCn1ccccc1=N,-10.72348074
Cc1c[nH]c(=S)[nH]c1=O,-14.26390471
Cc1nnc(N)n(N)c1=O,-15.53982707
CSc1ccccc1O,-5.683684375
Cn1[nH]nnc1=S,-20.31038399
CC#Cc1ccccc1,-4.468536361
CC(=O)c1ccc(C#N)cc1,-10.02961783
COc1ccc(C#N)cc1,-8.753281317
CNC(=O)c1nn[nH]c1O,-20.66167036
CC(C)(CN)c1cnc[nH]1,-12.62367515
COc1ccc(O)c(N)c1,-10.28142504
OCc1ccc(O)cc1,-10.07420242
CC(=N)Nc1ccc(N)cc1,-13.85573456
Nc1cc(F)ccc1O,-9.566408775
OCCCc1ccncc1,-9.703155754
CCCc1ccnc(N)c1,-8.306870703
CN(C)C(=O)c1ccccc1,-8.900834019
Cc1cccc(O)c(=O)c1,-7.619427223
Cc1cccnc1N,-7.559857699
CC(N)/C=C\c1ccccc1,-7.101681272
CN1CCc2ncncc2C1,-7.696334849
O=C1NCc2ccncc21,-12.16664706
NC(=O)c1ccon1,-15.06696691
N[C@@H]1c2ccccc2C[C@@H]1O,-9.453777005
Cc1cccc(C)c1NO,-10.65941197
NC1CCc2nccn2C1,-11.98763101
Cc1ccc(C)[nH]1,-5.869370859
ONCCc1ccccc1,-8.451059951
c1cncc(C2=NCCN2)c1,-9.701361076
Cc1cc(O)cnc1Cl,-9.11239274
O=Nc1ccccn1,-6.851405184
O=C/C=C/c1ccco1,-7.127848439
Cc1cc(C)cc(O)c1,-6.576693856
O=c1[nH]cc(Cl)cc1O,-10.29027921
NNCc1cccc(O)c1,-11.99059286
N[C@H]1C[C@H]1c1ccccc1,-6.638930298
Sc1ccncc1,-6.427333926
Nc1cccc(C=O)c1,-9.430747388
O=C(O)Cc1ccncc1,-10.75762983
Nc1cc(N)cc(N)c1,-13.80324962
O/N=C/C=C/c1ccccc1,-8.521460298
O=C/C=C/c1cccnc1,-9.583847278
Cc1c[nH]c(=O)c(C#N)c1,-16.53871631
Cc1nccc(CN)n1,-8.612675152
CC(N)Cc1ccncc1,-9.203827222
Cc1c[nH]c(=O)c(CN)c1,-13.01017738
Cc1ncc(N)n1CCO,-14.51505931
OCc1scnc1Cl,-8.325997208
Nc1ccc2c(c1)CCC2=O,-11.61318324
O=C(O)c1cccs1,-7.761037405
O=C(O)c1cccc(O)n1,-14.91314538
NCCCc1nnn[nH]1,-17.30882796
NCC1COc2ccccc21,-7.732397849
CCCCn1ccnc1C,-8.845732366
O=C(O)c1ncccc1O,-9.760503893
Clc1ccccc1Cl,-3.258245273
Cc1cccc(C)c1O,-5.894709713
CCCCNc1ccon1,-9.020255447
N#Cc1ccc(C#N)s1,-9.15131091
Cn1cnnc1S,-12.61729337
O=CC=Cc1ccccc1,-7.255992256
O=C1CCN1c1ccccc1,-8.249842595
OCCc1cccc(O)c1,-10.73511477
Cc1cscn1,-4.754731121
NCC1CC1c1c[nH]cn1,-12.41837897
OCCCc1cnco1,-9.355283036
Nc1cccc([N+](=O)[O-])c1,-10.10996421
ONc1ccc(Cl)cc1,-8.165624477
CNc1nnc(S)s1,-11.61476457
N#Cc1ccccc1O,-11.32829998
NCc1cccs1,-6.358433328
NNc1ccc(Cl)nn1,-11.88756827
Cc1cc(C)c(O)cn1,-8.45002456
Cc1cccc(O)c1CO,-9.144640479
Nn1ccc(=O)[nH]c1=O,-13.78417331
NC1=NCc2ccccc21,-9.744816143
N#Cc1cnc(O)nc1O,-14.38189541
O=C1Cc2ccc(O)cc2N1,-13.00618014
Cc1cc(C)c(C)c(C)c1,-2.425702656
N[C@H]1[C@@H]2Cc3ccccc3[C@H]12,-6.332711693
Nc1nc(N)c(N)c(N)n1,-15.99334737
Cc1cccc(CN)c1C,-6.736953635
NCCNCc1nnn[nH]1,-17.81122501
Cc1cc(C(=O)O)cs1,-7.892469374
O=Cc1cscn1,-7.019038205
COc1ccc(O)c(C)c1,-7.957918667
N=C(N)c1ccccc1,-10.09769012
Cn1cnc(/C=C/C#N)c1,-13.81494641
Oc1ccc2c(c1)CCN2,-9.13217813
O/N=C/c1ccc(F)cc1,-7.422320057
SCc1cccs1,-5.393586502
C[C@H]1Cc2ccccc2CN1,-5.67804306
NCc1ccc(O)nc1,-9.937430338
CC(=N)Nc1cccc(N)c1,-13.59103829
O=C/C=C/c1ccccc1,-7.166321078
Cl.NCCc1c[nH]cn1,-12.12038703
O=[N+]([O-])Nc1ccccc1,-9.683000133
O=C1NCc2ncccc21,-10.96937053
O=C1NCCc2ncccc21,-10.75338159
C#Cc1cc(O)nc(O)n1,-14.56825333
CC(=O)c1cc(CO)on1,-11.04366144
NC(=O)c1cncc(N)n1,-14.43443055
Oc1ccccc1F,-5.29024188
O[C@@H]1CCc2ccccc21,-6.412738043
